Date,Day,Number of cars
19/05/19,Sunday,3
20/05/19,Monday,3
21/05/19,Tuesday,3
22/05/19,Wednesday,4
23/05/19,Thursday,3
24/05/19,Friday,2
25/05/19,Saturday,3
26/05/19,Sunday,4
27/05/19,Monday,3
28/05/19,Tuesday,3
29/05/19,Wednesday,3
30/05/19,Thursday,3
31/05/19,Friday,3
01/06/19,Saturday,4
02/06/19,Sunday,4
03/06/19,Monday,3
04/06/19,Tuesday,3
05/06/19,Wednesday,2
06/06/19,Thursday,3
07/06/19,Friday,3
08/06/19,Saturday,4
09/06/19,Sunday,3
10/06/19,Monday,2
11/06/19,Tuesday,3
12/06/19,Wednesday,2
13/06/19,Thursday,2
14/06/19,Friday,3
15/06/19,Saturday,4
16/06/19,Sunday,3
17/06/19,Monday,4
18/06/19,Tuesday,4
19/06/19,Wednesday,3
20/06/19,Thursday,2
21/06/19,Friday,3
22/06/19,Saturday,4
23/06/19,Sunday,4
24/06/19,Monday,3
25/06/19,Tuesday,3
26/06/19,Wednesday,3
27/06/19,Thursday,3
28/06/19,Friday,3
29/06/19,Saturday,4
30/06/19,Sunday,4
01/07/19,Monday,3
02/07/19,Tuesday,3
03/07/19,Wednesday,3
04/07/19,Thursday,2
05/07/19,Friday,3
06/07/19,Saturday,4
07/07/19,Sunday,4
08/07/19,Monday,3
09/07/19,Tuesday,3
10/07/19,Wednesday,3
11/07/19,Thursday,3
12/07/19,Friday,2
13/07/19,Saturday,3
14/07/19,Sunday,3
15/07/19,Monday,2
16/07/19,Tuesday,3
17/07/19,Wednesday,2
18/07/19,Thursday,2
19/07/19,Friday,3
20/07/19,Saturday,3
21/07/19,Sunday,2
22/07/19,Monday,4
23/07/19,Tuesday,3
24/07/19,Wednesday,2
25/07/19,Thursday,4
26/07/19,Friday,4
27/07/19,Saturday,4
28/07/19,Sunday,4
29/07/19,Monday,2
30/07/19,Tuesday,2
31/07/19,Wednesday,2
01/08/19,Thursday,3
02/08/19,Friday,2
03/08/19,Saturday,4
04/08/19,Sunday,3
05/08/19,Monday,3
06/08/19,Tuesday,3
07/08/19,Wednesday,3
08/08/19,Thursday,4
09/08/19,Friday,2
10/08/19,Saturday,3
11/08/19,Sunday,4
12/08/19,Monday,3
13/08/19,Tuesday,3
14/08/19,Wednesday,2
15/08/19,Thursday,3
16/08/19,Friday,2
17/08/19,Saturday,3
18/08/19,Sunday,4
19/08/19,Monday,4
20/08/19,Tuesday,3
21/08/19,Wednesday,2
22/08/19,Thursday,3
23/08/19,Friday,2
24/08/19,Saturday,3
25/08/19,Sunday,4
26/08/19,Monday,3
27/08/19,Tuesday,3
28/08/19,Wednesday,4
29/08/19,Thursday,3
30/08/19,Friday,3
31/08/19,Saturday,4
01/09/19,Sunday,4
02/09/19,Monday,3
03/09/19,Tuesday,3
04/09/19,Wednesday,3
05/09/19,Thursday,3
06/09/19,Friday,3
07/09/19,Saturday,4
08/09/19,Sunday,4
09/09/19,Monday,3
10/09/19,Tuesday,3
11/09/19,Wednesday,2
12/09/19,Thursday,3
13/09/19,Friday,3
14/09/19,Saturday,4
15/09/19,Sunday,4
16/09/19,Monday,2
17/09/19,Tuesday,2
18/09/19,Wednesday,4
19/09/19,Thursday,2
20/09/19,Friday,3
21/09/19,Saturday,3
22/09/19,Sunday,4
23/09/19,Monday,3
24/09/19,Tuesday,3
25/09/19,Wednesday,3
26/09/19,Thursday,2
27/09/19,Friday,4
28/09/19,Saturday,4
29/09/19,Sunday,4
30/09/19,Monday,3
01/10/19,Tuesday,3
02/10/19,Wednesday,3
03/10/19,Thursday,2
04/10/19,Friday,3
05/10/19,Saturday,3
06/10/19,Sunday,4
07/10/19,Monday,3
08/10/19,Tuesday,3
09/10/19,Wednesday,4
10/10/19,Thursday,2
11/10/19,Friday,2
12/10/19,Saturday,4
13/10/19,Sunday,4
14/10/19,Monday,3
15/10/19,Tuesday,3
16/10/19,Wednesday,4
17/10/19,Thursday,3
18/10/19,Friday,2
19/10/19,Saturday,4
20/10/19,Sunday,4
21/10/19,Monday,2
22/10/19,Tuesday,2
23/10/19,Wednesday,3
24/10/19,Thursday,3
25/10/19,Friday,2
26/10/19,Saturday,4
27/10/19,Sunday,3
28/10/19,Monday,3
29/10/19,Tuesday,3
30/10/19,Wednesday,3
31/10/19,Thursday,3
01/11/19,Friday,3
02/11/19,Saturday,4
03/11/19,Sunday,3
04/11/19,Monday,3
05/11/19,Tuesday,2
06/11/19,Wednesday,2
07/11/19,Thursday,4
08/11/19,Friday,2
09/11/19,Saturday,3
10/11/19,Sunday,4
11/11/19,Monday,2
12/11/19,Tuesday,3
13/11/19,Wednesday,4
14/11/19,Thursday,2
15/11/19,Friday,2
16/11/19,Saturday,3
17/11/19,Sunday,4
18/11/19,Monday,3
19/11/19,Tuesday,3
20/11/19,Wednesday,2
21/11/19,Thursday,3
22/11/19,Friday,2
23/11/19,Saturday,3
24/11/19,Sunday,3
25/11/19,Monday,3
26/11/19,Tuesday,2
27/11/19,Wednesday,3
28/11/19,Thursday,2
29/11/19,Friday,3
30/11/19,Saturday,3
01/12/19,Sunday,3
02/12/19,Monday,2
03/12/19,Tuesday,2
04/12/19,Wednesday,3
05/12/19,Thursday,3
06/12/19,Friday,2
07/12/19,Saturday,3
08/12/19,Sunday,3
09/12/19,Monday,3
10/12/19,Tuesday,3
11/12/19,Wednesday,3
12/12/19,Thursday,3
13/12/19,Friday,2
14/12/19,Saturday,3
15/12/19,Sunday,4
16/12/19,Monday,3
17/12/19,Tuesday,3
18/12/19,Wednesday,2
19/12/19,Thursday,3
20/12/19,Friday,3
21/12/19,Saturday,3
22/12/19,Sunday,3
23/12/19,Monday,2
24/12/19,Tuesday,3
25/12/19,Wednesday,3
26/12/19,Thursday,3
27/12/19,Friday,3
28/12/19,Saturday,3
29/12/19,Sunday,4
30/12/19,Monday,2
31/12/19,Tuesday,3
